TableAverage 10- daily discharges (cumecs)  of Holi Nallah ,,,,,,,,,,,,,,,,,,,,,,,,,,,

Month                 Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1997,1998,2000,2001,2002,2003,2004,2008
SEP,I,5.12,7.25,5.17,7.88,11.53,6.95,4.75,5.05,4.12,3.54,4.63,13.7,9.35,5.94,3.41,4.97,4.43,3.79,10.21,2.59,6.04,4.87,4.20,2.84,1.56,4.06
,II,3.85,6.93,3.85,8.37,6.88,14.11,3.14,3.75,3.63,2.85,3.55,10.76,4.75,3.6,2.31,4.09,3.44,2.73,5.76,8.81,4.86,4.26,4.80,2.81,1.93,3.66
,III,3.08,5.98,3.08,7.38,5.45,4.04,2.65,2.45,2.17,2.3,2.39,6.58,4.42,2.91,1.65,2.9,3.71,3.71,3.74,6.90,4.46,3.73,1.98,1.86,1.14,3.68
OCT,I,1.98,4.24,1.94,3.72,4.1,2.62,2.11,2.08,1.96,1.75,1.43,2.11,3.46,1.87,1.61,1.82,2.35,1.18,2.68,2.56,3.78,3.23,1.64,1.19,2.24,2.34
,II,1.97,3.42,1.75,2.83,3.77,2.08,1.97,1.91,1.78,1.64,1.51,1.72,3.15,2.01,1.46,1.71,2.29,1.01,2.40,4.43,2.00,2.81,1.28,0.97,1.40,2.29
,III,2.45,2.31,1.62,1.63,3.71,1.82,1.53,1.74,1.56,1.42,1.56,1.43,1.73,1.67,1.48,1.56,1.84,0.83,1.91,3.72,1.04,2.42,1.13,0.68,1.02,2.13
NOV,I,1.68,1.68,1.28,1.8,2.75,1.71,1.33,1.5,1.34,1.47,1.13,1.26,1.46,1.45,1.24,1.43,1.72,0.71,1.88,3.06,1.00,2.23,1.00,0.66,0.79,1.86
,II,1.67,1.29,1.24,1.82,2.59,1.4,1.25,1.34,1.2,1.25,1.06,1.18,1.31,1.4,1.21,1.23,1.5,1.41,1.79,1.32,0.83,1.95,0.87,0.61,0.66,1.48
,III,1.75,1.03,1.08,1.76,2.56,1.26,1.27,1.24,1.14,1.13,0.97,1.06,1.23,1.25,1.21,1.18,1.48,1.33,1.84,1.08,0.73,1.77,0.81,0.55,0.62,2.59
DEC,I,1.53,1.09,0.97,1.71,2.02,1.21,1.86,1.12,1.1,0.97,0.87,1.03,1.16,1.61,1,1.13,1.1,0.63,1.88,0.89,0.69,0.66,0.73,0.52,0.53,1.17
,II,1.35,1.14,0.96,1.67,1.95,1.17,1.23,1.05,0.96,0.89,0.89,1.02,1.15,0.97,1.41,1.03,1.04,0.6,1.92,0.82,0.67,0.64,0.66,0.49,0.52,0.88
,III,1.29,1.11,0.96,1.65,1.69,1.13,1.1,1,0.97,0.79,0.88,0.91,1.13,0.94,1.08,1.01,1.12,0.57,1.44,0.73,0.64,0.61,0.64,0.47,0.56,0.79
Total,,115.31,172.75,100.62,184.18,188.76,201.64,174.72,174.13,160.14,154.05,166.41,216.75,124.78,124.69,115.15,105.55,146.88,105.55,197.37,196.87,161.96,118.39,80.92,85.23,61.81,102.89
